Province,Electors/Électeurs 2025,Electors/Électeurs 2021,Electors/Électeurs 2019,Electors/Électeurs 2015,Total Ballots Cast/Total des bulletins déposés 2025,Total Ballots Cast/Total des bulletins déposés 2021,Total Ballots Cast/Total des bulletins déposés 2019,Total Ballots Cast/Total des bulletins déposés 2015,Percentage of Voter Turnout/Pourcentage de la participation électorale 2025,Percentage of Voter Turnout/Pourcentage de la participation électorale 2021,Percentage of Voter Turnout/Pourcentage de la participation électorale 2019,Percentage of Voter Turnout/Pourcentage de la participation électorale 2015
Newfoundland and Labrador/Terre-Neuve-et-Labrador,427592,418226,420067,421038,281218,220631,246889,257389,65.8,52.8,58.8,61.1
Prince Edward Island/Île-du-Prince-Édouard,124729,118964,116721,113505,98145,85277,86362,87868,78.7,71.7,74,77.4
Nova Scotia/Nouvelle-Écosse,805073,779247,771411,742931,582447,492740,538738,526069,72.3,63.2,69.8,70.8
New Brunswick/Nouveau-Brunswick,644344,622974,616704,597542,471071,400901,444356,444459,73.1,64.4,72.1,74.4
Quebec/Québec,6680684,6508575,6482847,6393478,4538778,4132267,4360030,4303758,67.9,63.5,67.3,67.3
Ontario,11048632,10492441,10484419,9691517,7640124,6505569,6947807,6572378,69.1,62,66.3,67.8
Manitoba,961292,931927,927347,887983,645673,577577,595998,603240,67.2,62,64.3,67.9
Saskatchewan,833386,808175,807984,779405,565648,518913,586536,553792,67.9,64.2,72.6,71.1
Alberta,3277657,3033419,3023980,2842504,2281661,1954910,2093981,1937228,69.6,64.4,69.2,68.2
British Columbia/Colombie-Britannique,3844085,3713048,3641258,3392598,2659499,2279961,2402554,2374317,69.2,61.4,66,70
Yukon,31392,30482,29591,26879,22761,19548,21150,20385,72.5,64.1,71.5,75.8
Northwest Territories/Territoires du Nord-Ouest,30497,30519,30704,30110,16748,14250,16416,19077,54.9,46.7,53.5,63.4
Nunavut,21912,21499,20025,20252,7747,7267,9542,12023,35.4,33.8,47.7,59.4